Algorithm,Accuracy,Precision,Recall,F1-Score,AUC
V1: LR Baseline,0.99,0.97,1.0,0.99,1.0
V2: LR Tuned (GridSearch),0.99,0.97,1.0,0.99,1.0
V3: LR Stacking Ensemble,1.0,0.99,1.0,1.0,1.0
