Algorithm,Accuracy,Precision,Recall,F1-Score,AUC
V1: KNN Baseline,1.0,0.99,1.0,0.99,1.0
V2: KNN Tuned (GridSearch),1.0,0.99,1.0,1.0,1.0
V3: Final KNN Model,1.0,0.99,1.0,1.0,1.0
