Algorithm,Split,Accuracy,Precision,Recall,F1-Score,AUC
V1: SVM Baseline,KFold,0.9973,0.9939,1.0,0.9969,1.0
V1: SVM Baseline,Validation,1.0,1.0,1.0,1.0,1.0
V1: SVM Baseline,Test,0.9975,0.9946,1.0,0.9973,1.0
V2: SVM Tuned (GridSearch),KFold,1.0,1.0,1.0,1.0,1.0
V2: SVM Tuned (GridSearch),Validation,1.0,1.0,1.0,1.0,1.0
V2: SVM Tuned (GridSearch),Test,1.0,1.0,1.0,1.0,1.0
V3: SVM Stacking Ensemble,KFold,0.9959,0.9912,1.0,0.9955,1.0
V3: SVM Stacking Ensemble,Validation,1.0,1.0,1.0,1.0,1.0
V3: SVM Stacking Ensemble,Test,0.9975,0.9946,1.0,0.9973,1.0
