Algorithm,Split,Accuracy,Precision,Recall,F1-Score,AUC
V1: Gradient Boosting Baseline,KFold,0.9811,0.9719,0.9885,0.9799,0.9988
V1: Gradient Boosting Baseline,Validation,0.9951,0.9892,1.0,0.9946,1.0
V1: Gradient Boosting Baseline,Test,0.9975,0.9946,1.0,0.9973,1.0
V2: Gradient Boosting Tuned (GridSearch),KFold,0.9932,0.9882,0.9969,0.9925,0.9999
V2: Gradient Boosting Tuned (GridSearch),Validation,1.0,1.0,1.0,1.0,1.0
V2: Gradient Boosting Tuned (GridSearch),Test,1.0,1.0,1.0,1.0,1.0
V3: Gradient Boosting Stacking Ensemble,KFold,0.9946,0.9885,1.0,0.9942,0.9949
V3: Gradient Boosting Stacking Ensemble,Validation,1.0,1.0,1.0,1.0,1.0
V3: Gradient Boosting Stacking Ensemble,Test,0.9951,0.9945,0.9945,0.9945,0.995
