Algorithm,Accuracy,Precision,Recall,F1-Score,AUC
V1: LDA Baseline,0.99,0.97,1.0,0.99,1.0
V2: LDA Tuned (GridSearch),0.99,0.97,1.0,0.99,1.0
V3: LDA Stacking Ensemble,0.99,0.97,1.0,0.99,1.0
